date,soil_moisture,temperature_C,water_required_mm
2024-10-22,0.278,4.57,2.2
2024-10-23,0.326,5.66,0.0
2024-10-24,0.308,4.7,0.0
2024-10-25,0.324,4.43,0.0
2024-10-26,0.318,6.14,0.0
2024-10-27,0.275,5.49,2.5
2024-10-28,0.283,9.09,1.7
2024-10-29,0.322,0.86,0.0
2024-10-30,0.318,8.42,0.0
2024-10-31,0.299,8.82,0.1
2024-11-01,0.304,2.27,0.0
2024-11-02,0.338,5.82,0.0
2024-11-03,0.282,5.85,1.8
2024-11-04,0.316,3.87,0.0
2024-11-05,0.294,5.23,0.6
2024-11-06,0.293,4.66,0.7
2024-11-07,0.332,10.49,0.0
2024-11-08,0.324,8.96,0.0
2024-11-09,0.323,9.74,0.0
2024-11-10,0.338,8.75,0.0
2024-11-11,0.299,5.16,0.1
2024-11-12,0.318,6.48,0.0
2024-11-13,0.288,8.62,1.2
2024-11-14,0.307,5.32,0.0
2024-11-15,0.292,9.31,0.8
2024-11-16,0.299,7.52,0.1
2024-11-17,0.313,7.38,0.0
2024-11-18,0.27,9.68,3.0
2024-11-19,0.357,9.27,0.0
2024-11-20,0.263,7.79,3.7
2024-11-21,0.257,10.96,4.3
2024-11-22,0.327,6.62,0.0
2024-11-23,0.315,10.15,0.0
2024-11-24,0.31,10.24,0.0
2024-11-25,0.309,8.57,0.0
2024-11-26,0.289,9.99,1.1
2024-11-27,0.262,6.97,3.8
2024-11-28,0.29,11.47,1.0
2024-11-29,0.266,9.4,3.4
2024-11-30,0.315,8.87,0.0
2024-12-01,0.281,12.16,1.9
2024-12-02,0.259,8.8,4.1
2024-12-03,0.273,7.55,2.7
2024-12-04,0.294,7.4,0.6
2024-12-05,0.264,11.88,3.6
2024-12-06,0.255,8.27,4.5
2024-12-07,0.286,14.49,1.4
2024-12-08,0.285,6.98,1.5
2024-12-09,0.262,14.7,3.8
2024-12-10,0.262,11.89,3.8
2024-12-11,0.282,11.43,1.8
2024-12-12,0.23,10.7,7.0
2024-12-13,0.23,12.75,7.0
2024-12-14,0.25,12.04,5.0
2024-12-15,0.264,14.49,3.6
2024-12-16,0.278,12.67,2.2
2024-12-17,0.312,12.91,0.0
2024-12-18,0.292,12.05,0.8
2024-12-19,0.26,12.84,4.0
2024-12-20,0.263,13.73,3.7
2024-12-21,0.233,9.87,6.7
2024-12-22,0.261,10.76,3.9
2024-12-23,0.252,15.11,4.8
2024-12-24,0.269,14.14,3.1
2024-12-25,0.233,13.6,6.7
2024-12-26,0.272,14.18,2.8
2024-12-27,0.301,15.01,0.0
2024-12-28,0.251,13.4,4.9
2024-12-29,0.265,13.1,3.5
2024-12-30,0.272,15.22,2.8
2024-12-31,0.238,13.04,6.2
